 schemaname |            tablename             |                         indexname                         |                                                                       indexdef                                                                       
 public     | logs                             | idx_logs_ip                                               | CREATE INDEX idx_logs_ip ON public.logs USING btree (ip)
 public     | logs                             | idx_logs_model_name                                       | CREATE INDEX idx_logs_model_name ON public.logs USING btree (model_name)
 public     | logs                             | idx_logs_request_id                                       | CREATE INDEX idx_logs_request_id ON public.logs USING btree (request_id)
 public     | logs                             | idx_logs_token_id                                         | CREATE INDEX idx_logs_token_id ON public.logs USING btree (token_id)
 public     | logs                             | idx_logs_token_name                                       | CREATE INDEX idx_logs_token_name ON public.logs USING btree (token_name)
 public     | logs                             | idx_logs_type_created_model                               | CREATE INDEX idx_logs_type_created_model ON public.logs USING btree (type, created_at, model_name)
 public     | logs                             | idx_logs_type_created_token                               | CREATE INDEX idx_logs_type_created_token ON public.logs USING btree (type, created_at, token_id)
 public     | logs                             | idx_logs_type_created_user                                | CREATE INDEX idx_logs_type_created_user ON public.logs USING btree (type, created_at, user_id)
 public     | logs                             | idx_logs_user_created_ip                                  | CREATE INDEX idx_logs_user_created_ip ON public.logs USING btree (user_id, created_at, ip)
 public     | logs                             | idx_logs_user_id                                          | CREATE INDEX idx_logs_user_id ON public.logs USING btree (user_id)
 public     | logs                             | idx_logs_user_type_created                                | CREATE INDEX idx_logs_user_type_created ON public.logs USING btree (user_id, type, created_at)
 public     | logs                             | idx_logs_username                                         | CREATE INDEX idx_logs_username ON public.logs USING btree (username)
 public     | logs                             | idx_user_id_id                                            | CREATE INDEX idx_user_id_id ON public.logs USING btree (user_id, id)
 public     | logs                             | index_username_model_name                                 | CREATE INDEX index_username_model_name ON public.logs USING btree (model_name, username)
 public     | logs                             | logs_pkey                                                 | CREATE UNIQUE INDEX logs_pkey ON public.logs USING btree (id)
 public     | midjourneys                      | idx_midjourneys_action                                    | CREATE INDEX idx_midjourneys_action ON public.midjourneys USING btree (action)
 public     | midjourneys                      | idx_midjourneys_finish_time                               | CREATE INDEX idx_midjourneys_finish_time ON public.midjourneys USING btree (finish_time)
 public     | midjourneys                      | idx_midjourneys_mj_id                                     | CREATE INDEX idx_midjourneys_mj_id ON public.midjourneys USING btree (mj_id)
 public     | midjourneys                      | idx_midjourneys_progress                                  | CREATE INDEX idx_midjourneys_progress ON public.midjourneys USING btree (progress)
 public     | midjourneys                      | idx_midjourneys_start_time                                | CREATE INDEX idx_midjourneys_start_time ON public.midjourneys USING btree (start_time)
 public     | midjourneys                      | idx_midjourneys_status                                    | CREATE INDEX idx_midjourneys_status ON public.midjourneys USING btree (status)
 public     | midjourneys                      | idx_midjourneys_submit_time                               | CREATE INDEX idx_midjourneys_submit_time ON public.midjourneys USING btree (submit_time)
 public     | midjourneys                      | idx_midjourneys_user_id                                   | CREATE INDEX idx_midjourneys_user_id ON public.midjourneys USING btree (user_id)
 public     | midjourneys                      | midjourneys_pkey                                          | CREATE UNIQUE INDEX midjourneys_pkey ON public.midjourneys USING btree (id)
 public     | models                           | idx_models_deleted_at                                     | CREATE INDEX idx_models_deleted_at ON public.models USING btree (deleted_at)
 public     | models                           | idx_models_vendor_id                                      | CREATE INDEX idx_models_vendor_id ON public.models USING btree (vendor_id)
 public     | models                           | models_pkey                                               | CREATE UNIQUE INDEX models_pkey ON public.models USING btree (id)
 public     | models                           | uk_model_name_delete_at                                   | CREATE UNIQUE INDEX uk_model_name_delete_at ON public.models USING btree (model_name, deleted_at)
 public     | options                          | options_pkey                                              | CREATE UNIQUE INDEX options_pkey ON public.options USING btree (key)
 public     | passkey_credentials              | idx_passkey_credentials_credential_id                     | CREATE UNIQUE INDEX idx_passkey_credentials_credential_id ON public.passkey_credentials USING btree (credential_id)
 public     | passkey_credentials              | idx_passkey_credentials_deleted_at                        | CREATE INDEX idx_passkey_credentials_deleted_at ON public.passkey_credentials USING btree (deleted_at)
 public     | passkey_credentials              | idx_passkey_credentials_user_id                           | CREATE UNIQUE INDEX idx_passkey_credentials_user_id ON public.passkey_credentials USING btree (user_id)
 public     | passkey_credentials              | passkey_credentials_pkey                                  | CREATE UNIQUE INDEX passkey_credentials_pkey ON public.passkey_credentials USING btree (id)
 public     | prefill_groups                   | idx_prefill_groups_deleted_at                             | CREATE INDEX idx_prefill_groups_deleted_at ON public.prefill_groups USING btree (deleted_at)
 public     | prefill_groups                   | idx_prefill_groups_name                                   | CREATE UNIQUE INDEX idx_prefill_groups_name ON public.prefill_groups USING btree (name)
 public     | prefill_groups                   | idx_prefill_groups_type                                   | CREATE INDEX idx_prefill_groups_type ON public.prefill_groups USING btree (type)
 public     | prefill_groups                   | prefill_groups_pkey                                       | CREATE UNIQUE INDEX prefill_groups_pkey ON public.prefill_groups USING btree (id)
 public     | prefill_groups                   | uk_prefill_name                                           | CREATE UNIQUE INDEX uk_prefill_name ON public.prefill_groups USING btree (name) WHERE (deleted_at IS NULL)
 public     | quota_data                       | idx_qdt_created_at                                        | CREATE INDEX idx_qdt_created_at ON public.quota_data USING btree (created_at)
 public     | quota_data                       | idx_qdt_model_user_name                                   | CREATE INDEX idx_qdt_model_user_name ON public.quota_data USING btree (model_name, username)
 public     | quota_data                       | idx_quota_data_user_id                                    | CREATE INDEX idx_quota_data_user_id ON public.quota_data USING btree (user_id)
 public     | quota_data                       | quota_data_pkey                                           | CREATE UNIQUE INDEX quota_data_pkey ON public.quota_data USING btree (id)
 public     | redemptions                      | idx_redemptions_created_deleted                           | CREATE INDEX idx_redemptions_created_deleted ON public.redemptions USING btree (created_time, deleted_at)
 public     | redemptions                      | idx_redemptions_deleted_at                                | CREATE INDEX idx_redemptions_deleted_at ON public.redemptions USING btree (deleted_at)
 public     | redemptions                      | idx_redemptions_key                                       | CREATE UNIQUE INDEX idx_redemptions_key ON public.redemptions USING btree (key)
 public     | redemptions                      | idx_redemptions_name                                      | CREATE INDEX idx_redemptions_name ON public.redemptions USING btree (name)
 public     | redemptions                      | redemptions_pkey                                          | CREATE UNIQUE INDEX redemptions_pkey ON public.redemptions USING btree (id)
 public     | setups                           | setups_pkey                                               | CREATE UNIQUE INDEX setups_pkey ON public.setups USING btree (id)
 public     | subscription_orders              | idx_subscription_orders_plan_id                           | CREATE INDEX idx_subscription_orders_plan_id ON public.subscription_orders USING btree (plan_id)
 public     | subscription_orders              | idx_subscription_orders_trade_no                          | CREATE INDEX idx_subscription_orders_trade_no ON public.subscription_orders USING btree (trade_no)
 public     | subscription_orders              | idx_subscription_orders_user_id                           | CREATE INDEX idx_subscription_orders_user_id ON public.subscription_orders USING btree (user_id)
 public     | subscription_orders              | subscription_orders_pkey                                  | CREATE UNIQUE INDEX subscription_orders_pkey ON public.subscription_orders USING btree (id)
 public     | subscription_orders              | subscription_orders_trade_no_key                          | CREATE UNIQUE INDEX subscription_orders_trade_no_key ON public.subscription_orders USING btree (trade_no)
 public     | subscription_plans               | subscription_plans_pkey                                   | CREATE UNIQUE INDEX subscription_plans_pkey ON public.subscription_plans USING btree (id)
 public     | subscription_pre_consume_records | idx_subscription_pre_consume_records_request_id           | CREATE UNIQUE INDEX idx_subscription_pre_consume_records_request_id ON public.subscription_pre_consume_records USING btree (request_id)
 public     | subscription_pre_consume_records | idx_subscription_pre_consume_records_status               | CREATE INDEX idx_subscription_pre_consume_records_status ON public.subscription_pre_consume_records USING btree (status)
 public     | subscription_pre_consume_records | idx_subscription_pre_consume_records_updated_at           | CREATE INDEX idx_subscription_pre_consume_records_updated_at ON public.subscription_pre_consume_records USING btree (updated_at)
 public     | subscription_pre_consume_records | idx_subscription_pre_consume_records_user_id              | CREATE INDEX idx_subscription_pre_consume_records_user_id ON public.subscription_pre_consume_records USING btree (user_id)
 public     | subscription_pre_consume_records | idx_subscription_pre_consume_records_user_subscription_id | CREATE INDEX idx_subscription_pre_consume_records_user_subscription_id ON public.subscription_pre_consume_records USING btree (user_subscription_id)
 public     | subscription_pre_consume_records | subscription_pre_consume_records_pkey                     | CREATE UNIQUE INDEX subscription_pre_consume_records_pkey ON public.subscription_pre_consume_records USING btree (id)
 public     | tasks                            | idx_tasks_action                                          | CREATE INDEX idx_tasks_action ON public.tasks USING btree (action)
 public     | tasks                            | idx_tasks_channel_id                                      | CREATE INDEX idx_tasks_channel_id ON public.tasks USING btree (channel_id)
 public     | tasks                            | idx_tasks_created_at                                      | CREATE INDEX idx_tasks_created_at ON public.tasks USING btree (created_at)
