            table_name            |        column_name         |        data_type         | character_maximum_length | is_nullable |                        column_default                        
 redemptions                      | used_user_id               | bigint                   |                          | YES         | 
 redemptions                      | deleted_at                 | timestamp with time zone |                          | YES         | 
 redemptions                      | expired_time               | bigint                   |                          | YES         | 
 setups                           | id                         | bigint                   |                          | NO          | nextval('setups_id_seq'::regclass)
 setups                           | version                    | character varying        |                       50 | NO          | 
 setups                           | initialized_at             | bigint                   |                          | NO          | 
 subscription_orders              | id                         | bigint                   |                          | NO          | nextval('subscription_orders_id_seq'::regclass)
 subscription_orders              | user_id                    | bigint                   |                          | YES         | 
 subscription_orders              | plan_id                    | bigint                   |                          | YES         | 
 subscription_orders              | money                      | numeric                  |                          | YES         | 
 subscription_orders              | trade_no                   | character varying        |                      255 | YES         | 
 subscription_orders              | payment_method             | character varying        |                       50 | YES         | 
 subscription_orders              | status                     | text                     |                          | YES         | 
 subscription_orders              | create_time                | bigint                   |                          | YES         | 
 subscription_orders              | complete_time              | bigint                   |                          | YES         | 
 subscription_orders              | provider_payload           | text                     |                          | YES         | 
 subscription_orders              | payment_provider           | character varying        |                       50 | YES         | ''::character varying
 subscription_plans               | id                         | bigint                   |                          | NO          | nextval('subscription_plans_id_seq'::regclass)
 subscription_plans               | title                      | character varying        |                      128 | NO          | 
 subscription_plans               | subtitle                   | character varying        |                      255 | YES         | ''::character varying
 subscription_plans               | price_amount               | numeric                  |                          | NO          | 0.000000
 subscription_plans               | currency                   | character varying        |                        8 | NO          | 'USD'::character varying
 subscription_plans               | duration_unit              | character varying        |                       16 | NO          | 'month'::character varying
 subscription_plans               | duration_value             | bigint                   |                          | NO          | 1
 subscription_plans               | custom_seconds             | bigint                   |                          | NO          | 0
 subscription_plans               | enabled                    | boolean                  |                          | YES         | true
 subscription_plans               | sort_order                 | bigint                   |                          | YES         | 0
 subscription_plans               | stripe_price_id            | character varying        |                      128 | YES         | ''::character varying
 subscription_plans               | creem_product_id           | character varying        |                      128 | YES         | ''::character varying
 subscription_plans               | max_purchase_per_user      | bigint                   |                          | YES         | 0
 subscription_plans               | upgrade_group              | character varying        |                       64 | YES         | ''::character varying
 subscription_plans               | total_amount               | bigint                   |                          | NO          | 0
 subscription_plans               | quota_reset_period         | character varying        |                       16 | YES         | 'never'::character varying
 subscription_plans               | quota_reset_custom_seconds | bigint                   |                          | YES         | 0
 subscription_plans               | created_at                 | bigint                   |                          | YES         | 
 subscription_plans               | updated_at                 | bigint                   |                          | YES         | 
